step,ep_rew_mean,catch_rate,ambush_ratio,in_cone_ratio,ep_len_mean,hit_per_ep,curriculum_stage,loss,lr,fps
0,,,,,,,,,,1193.2
40000,-3.03958,0.0948052,0.447917,0.0644911,51.9351,0.249351,,,,
50000,,,,,,,,1.2513,9.98876e-05,398.947
80000,-2.60681,0.0833333,0.464088,0.066438,52.0143,0.235677,,,,
100000,,,,,,,,2.41405,9.96981e-05,221.321
120000,-2.541,0.129887,0.521739,0.0749023,50.3556,0.348045,,,,
150000,,,,,,,,2.81947,9.94084e-05,191.965
160000,-1.9196,0.119593,0.523622,0.0799501,50.986,0.323155,,,,
200000,-0.276205,0.201681,0.537383,0.083633,48.072,0.513806,,4.54929,9.90298e-05,179.409
240000,0.454337,0.259091,0.521277,0.0928779,45.4409,0.640909,,,,
250000,,,,,,,,9.15567,9.85513e-05,172.017
280000,2.24222,0.331878,0.554645,0.103779,43.6245,0.799127,,,,
300000,,,,,,,,11.5418,9.79881e-05,168.274
320000,3.4344,0.400818,0.559211,0.111766,40.9489,0.932515,,,,
350000,,,,,,,,11.2005,9.73407e-05,165.324
360000,3.97976,0.443775,0.576205,0.103949,40.1707,1.02108,,,,
400000,3.55535,0.399792,0.566815,0.0936477,41.5379,0.932503,,12.9353,9.65821e-05,162.997
440000,4.42365,0.42359,0.66421,0.0688194,40.9097,0.974359,,,,
450000,,,,,,,,16.7183,9.57588e-05,161.409
480000,4.83883,0.443461,0.684211,0.0752356,39.4435,1.00885,,,,
500000,,,,,,,,19.8745,9.48321e-05,159.813
520000,5.61143,0.438328,0.762677,0.0635187,40.7788,1.0051,,,,
550000,,,,,,,,21.1383,9.38407e-05,158.619
560000,6.38054,0.473684,0.820442,0.0664899,39.6981,1.07845,,,,
600000,7.17687,0.504008,0.866063,0.0634333,40.0591,1.10721,,20.7916,9.27642e-05,157.681
640000,6.84775,0.473054,0.904306,0.0527976,39.8653,1.04291,,,,
650000,,,,,,,,20.7999,9.16202e-05,156.833
680000,7.82564,0.534208,0.925866,0.0521195,37.5642,1.16307,,,,
700000,,,,,,,,19.6846,9.03839e-05,156
720000,7.31142,0.499027,0.920434,0.0711945,38.8862,1.07588,,,,
750000,,,,,,,,19.2251,8.90836e-05,155.219
760000,7.64044,0.517569,0.913559,0.064267,37.9915,1.12061,,,,
800000,9.76419,0.610879,0.945701,0.0584925,33.4628,1.29456,1,17.3947,8.77241e-05,155
840000,5.25633,0.411405,0.890951,0.0399049,40.7026,0.8778,,,,
850000,,,,,,,,16.2084,8.62957e-05,154.563
880000,5.96505,0.44946,0.895178,0.0300654,39.2993,0.936212,,,,
900000,,,,,,,,15.9512,8.48126e-05,154
920000,6.43983,0.473837,0.88154,0.042131,38.7771,0.981589,,,,
950000,,,,,,,,15.3339,8.32933e-05,154
960000,6.40151,0.47822,0.900858,0.0346319,37.8712,0.993371,,,,
1000000,6.33035,0.476923,0.886051,0.0322685,38.4692,0.978846,,15.3598,8.16797e-05,153.187
1040000,7.23724,0.517583,0.875634,0.0430817,36.0839,1.06583,,,,
1050000,,,,,,,,14.4626,8.00663e-05,153
1080000,7.64081,0.536056,0.885986,0.0393589,34.7446,1.09731,,,,
1100000,,,,,,,,14.1822,7.83969e-05,153
1120000,8.86822,0.578554,0.850672,0.040427,33.2485,1.17456,,,,
1150000,,,,,,,,13.5667,7.66697e-05,152
1160000,8.42723,0.570234,0.855596,0.0422109,33.4164,1.15803,,,,
1200000,8.59844,0.576257,0.88881,0.0431838,32.9885,1.16406,,13.4825,7.49471e-05,152
1240000,9.11534,0.59588,0.876405,0.0381076,31.6894,1.19889,,,,
1250000,,,,,,,,12.994,7.31576e-05,152
1280000,8.82329,0.571661,0.865957,0.0422954,32.5961,1.14821,,,,
1300000,,,,,,,,12.3291,7.13626e-05,151.402
1320000,9.48788,0.603701,0.855873,0.0423915,30.8466,1.21434,,,,
1350000,,,,,,,,11.8776,6.95588e-05,151
1360000,9.31325,0.612322,0.847468,0.0412423,30.0218,1.2314,,,,
1400000,10.0589,0.635527,0.845898,0.050451,28.322,1.27672,,12.0059,6.77276e-05,151
1440000,9.4538,0.616018,0.832524,0.0411593,29.9334,1.23353,,,,
1450000,,,,,,,,11.8819,6.59422e-05,151
1480000,10.3093,0.651755,0.836498,0.0463401,27.5203,1.30489,,,,
1500000,,,,,,,,11.3212,6.40865e-05,150.207
1520000,8.97438,0.601326,0.865361,0.0438932,29.4982,1.20413,,,,
1550000,,,,,,,,11.1557,6.22444e-05,150
1560000,8.97814,0.593496,0.864259,0.0420134,29.5721,1.18699,,,,
1600000,10.2932,0.653445,0.828814,0.0522597,27.7773,1.30898,2,11.2007,6.04217e-05,150
1640000,10.895,0.695165,0.786252,0.04705,28.0904,1.39664,,,,
1650000,,,,,,,,12.3853,5.86343e-05,149.879
1680000,11.6116,0.721024,0.80597,0.0420782,26.9522,1.44474,,,,
1700000,,,,,,,,13.2626,5.68286e-05,149
1720000,10.0532,0.675637,0.796867,0.0463487,28.2989,1.35623,,,,
1750000,,,,,,,,13.4017,5.50629e-05,149
1760000,11.4759,0.717227,0.816317,0.0454079,27.4489,1.43857,,,,
1800000,11.6839,0.722415,0.809,0.0501099,27.7807,1.44969,,12.8445,5.33367e-05,149
1840000,11.7471,0.732551,0.832742,0.0462577,26.1024,1.47032,,,,
1850000,,,,,,,,12.9324,5.16093e-05,148.105
1880000,11.6971,0.728202,0.819114,0.0539512,27.1969,1.46117,,,,
1900000,,,,,,,,14.4166,4.99691e-05,148
1920000,12.0426,0.744401,0.82023,0.0495171,26.3946,1.49144,3,,,
1950000,,,,,,,,19.8497,4.83059e-05,147.934
1960000,7.49137,0.619273,0.750927,0.0500112,31.6043,1.27804,,,,
2000000,7.50256,0.609621,0.813953,0.0525934,31.5347,1.25473,,22.6985,4.67213e-05,147
2040000,8.67471,0.631877,0.858292,0.0665399,32.343,1.30744,,,,
2050000,,,,,,,,24.719,4.51917e-05,147
2080000,8.81475,0.624496,0.89556,0.0640577,32.2659,1.28848,,,,
2100000,,,,,,,,25.4316,4.3694e-05,146.327
2120000,8.4027,0.592282,0.92562,0.0687996,33.4841,1.21812,,,,
2150000,,,,,,,,30.422,4.22797e-05,146
2160000,8.29561,0.591057,0.938158,0.0857543,32.5472,1.23577,,,,
2200000,8.77897,0.601473,0.96081,0.0696199,32.7709,1.25286,,36.851,4.09078e-05,145.814
2240000,9.08562,0.615633,0.945535,0.0836625,32.2272,1.27236,,,,
2250000,,,,,,,,36.7108,3.96133e-05,145
2280000,9.22775,0.615385,0.946063,0.0780179,31.7034,1.27914,,,,
2300000,,,,,,,,39.9636,3.83991e-05,145
2320000,10.0709,0.651934,0.915394,0.0857207,31.5998,1.34333,4,,,
2350000,,,,,,,,36.7937,3.7231e-05,144.816
2360000,8.68156,0.601681,0.925453,0.0877969,33.605,1.25126,,,,
2400000,10.1173,0.633581,0.917454,0.0875675,33.0786,1.31266,,36.579,3.61582e-05,144
2440000,9.75907,0.622779,0.932999,0.073823,32.2892,1.28998,,,,
2450000,,,,,,,,39.5559,3.51614e-05,144
2480000,9.54623,0.634304,0.915993,0.0820553,32.39,1.30016,,,,
2500000,,,,,,,,38.6405,3.42458e-05,144
2520000,8.47584,0.609177,0.936358,0.0851059,31.6527,1.25554,,,,
2550000,,,,,,,,37.8065,3.34156e-05,143.023
2560000,10.122,0.634281,0.930723,0.0974125,31.5348,1.31122,,,,
2600000,9.48092,0.616251,0.956989,0.0772803,32.2196,1.27192,,39.3178,3.26697e-05,143
2640000,10.7636,0.648754,0.969573,0.0861306,31.1597,1.331,,,,
2650000,,,,,,,,40.1387,3.20096e-05,143
2680000,9.74509,0.622332,0.954373,0.0845225,32.8514,1.29557,,,,
2700000,,,,,,,,38.8804,3.1446e-05,142.796
2720000,10.7194,0.644409,0.946602,0.0910637,32.1665,1.32582,,,,
2750000,,,,,,,,40.7847,3.09712e-05,142
2760000,10.1931,0.643322,0.948052,0.0926421,32.5936,1.31678,,,,
2800000,9.65265,0.626526,0.948428,0.0833854,32.5427,1.29373,,40.0252,3.05904e-05,142
2840000,10.0012,0.623967,0.934741,0.0988667,33.0355,1.29174,,,,
2850000,,,,,,,,37.9224,3.03053e-05,142
2880000,10.0205,0.641479,0.950273,0.0916267,32.1801,1.32556,,,,
2900000,,,,,,,,40.9426,3.01129e-05,141.801
2920000,10.4288,0.6528,0.938959,0.0926005,31.9912,1.3368,,,,
2950000,,,,,,,,39.6251,3.0016e-05,141.401
2960000,10.2941,0.637917,0.958205,0.090291,32.55,1.32384,,,,
3000000,9.12102,0.609935,0.939589,0.0943061,32.5798,1.2671,,37.5108,3e-05,
