step,ep_rew_mean,catch_rate,ambush_ratio,in_cone_ratio,ep_len_mean,hit_per_ep,curriculum_stage,loss,lr,fps
960000,10.6638,0.839653,,,21.6885,1.71723,,,,
1000000,11.1884,0.863366,,,19.8124,1.75891,,13.1572,7.65137e-05,142
1040000,11.1589,0.858216,,,20.0411,1.73948,1,,,
1050000,,,,,,,,12.2016,7.43741e-05,142
1080000,8.1215,0.699187,,,27.0935,1.42209,,,,
1100000,,,,,,,,11.3772,7.22199e-05,142
1120000,8.02199,0.7054,,,27.3424,1.4272,,,,
1150000,,,,,,,,10.3258,7.00304e-05,142
1160000,8.44646,0.721461,,,26.032,1.45075,,,,
1200000,8.54539,0.718068,,,26.5268,1.44474,,8.80261,6.77728e-05,142
1240000,8.7111,0.748477,,,24.3764,1.50305,,,,
1250000,,,,,,,,7.44627,6.55011e-05,142
1280000,8.56896,0.717042,,,25.7235,1.43987,,,,
1300000,,,,,,,,6.76063,6.31954e-05,142
1320000,8.7854,0.745169,,,24.1353,1.49517,,,,
1350000,,,,,,,,6.05314,6.08538e-05,142
1360000,9.17487,0.752669,,,23.7295,1.50771,,,,
1400000,9.20365,0.742754,,,24.1685,1.48551,,5.8275,5.85281e-05,142
1440000,9.07146,0.747499,,,23.5397,1.49559,,,,
1450000,,,,,,,,5.99745,5.62035e-05,142
1480000,9.5481,0.767521,,,22.7903,1.53618,,,,
1500000,,,,,,,,5.98707,5.38186e-05,141.233
1520000,9.1851,0.74619,,,23.4478,1.49297,,,,
1550000,,,,,,,,5.61657,5.14896e-05,141
1560000,9.98184,0.777778,,,21.6667,1.55556,,,,
1600000,9.55891,0.767199,,,22.0303,1.53495,,5.29665,4.91307e-05,141
1640000,9.91206,0.768933,,,22.1039,1.53842,,,,
1650000,,,,,,,,5.67766,4.68048e-05,141
1680000,9.75022,0.768811,,,21.8103,1.53817,,,,
1700000,,,,,,,,6.07163,4.44939e-05,141
1720000,9.88499,0.781622,,,21.5941,1.56378,,,,
1750000,,,,,,,,5.71948,4.22203e-05,141
1760000,10.0816,0.801579,,,21.0826,1.60316,,,,
1800000,10.3692,0.801034,,,20.6615,1.60362,,5.57654,3.99734e-05,141
1840000,10.2987,0.791029,,,21.1266,1.58364,,,,
1850000,,,,,,,,5.76067,3.77779e-05,141
1880000,10.7077,0.818045,,,20.0431,1.63659,,,,
1900000,,,,,,,,5.8995,3.56046e-05,141
1920000,10.319,0.798939,,,21.2265,1.59894,,,,
1950000,,,,,,,,5.62372,3.35497e-05,141
1960000,10.6766,0.81693,,,20.3886,1.6359,,,,
2000000,10.253,0.799681,,,21.2572,1.60255,,5.43057,3.14924e-05,141
2040000,10.9333,0.823085,,,20.1522,1.64718,,,,
2050000,,,,,,,,5.0106,2.95443e-05,141
2080000,10.7436,0.81608,,,20.1146,1.63266,,,,
2100000,,,,,,,,4.78421,2.76131e-05,141
2120000,10.3906,0.805188,,,21.1599,1.61143,,,,
2150000,,,,,,,,4.99684,2.57833e-05,141
2160000,10.4782,0.818548,,,20.1774,1.6376,,,,
2200000,10.8779,0.825325,,,20.0115,1.65265,,4.76341,2.40353e-05,141
2240000,10.7175,0.826368,,,19.9065,1.65423,,,,
2250000,,,,,,,,4.67613,2.23584e-05,140.221
2280000,10.5202,0.809694,,,20.4026,1.62194,,,,
2300000,,,,,,,,4.75466,2.0793e-05,140
2320000,10.8344,0.839801,,,19.892,1.6801,,,,
2350000,,,,,,,,5.13539,1.92973e-05,140
2360000,10.4988,0.819838,,,20.2566,1.64221,,,,
2400000,10.8538,0.82874,,,19.6816,1.65896,,5.10475,1.79296e-05,140
2440000,10.8095,0.829637,,,20.1648,1.66079,,,,
2450000,,,,,,,,5.01277,1.66369e-05,140
2480000,10.8965,0.832004,,,19.9232,1.6655,,,,
2500000,,,,,,,,4.87038,1.54658e-05,140
2520000,11.2502,0.844836,,,19.5937,1.69163,,,,
2550000,,,,,,,,5.06278,1.43918e-05,139.408
2560000,11.0892,0.841822,,,19.5896,1.68413,,,,
2600000,10.9428,0.840039,,,19.6207,1.68106,,4.97569,1.34304e-05,139
2640000,10.7135,0.831466,,,20.3732,1.66344,,,,
2650000,,,,,,,,4.9877,1.25863e-05,139
2680000,11.1023,0.840385,,,19.225,1.68173,,,,
2700000,,,,,,,,4.98635,1.18643e-05,139
2720000,11.4015,0.851817,,,18.8867,1.70599,2,,,
2750000,,,,,,,,5.04685,1.12488e-05,139
2760000,11.2782,0.85039,,,19.4903,1.70224,,,,
2800000,11.1934,0.85063,,,19.3865,1.70223,3,5.64951,1.07609e-05,139
2840000,9.52252,0.814695,,,21.6197,1.6456,,,,
2850000,,,,,,,,6.94659,1.03898e-05,139
2880000,9.28241,0.805344,,,21.8157,1.62923,4,,,
2900000,,,,,,,,7.97227,1.01442e-05,139
2920000,9.27156,0.802964,,,21.9429,1.62239,,,,
2950000,,,,,,,,8.77188,1.00207e-05,139
2960000,9.15139,0.802537,,,22.0684,1.61666,,,,
3000000,9.26956,0.798763,,,22.4924,1.61327,,8.10514,1e-05,139
