step,ep_rew_mean,catch_rate,ambush_ratio,in_cone_ratio,ep_len_mean,hit_per_ep,curriculum_stage,loss,lr,fps
0,,,,,,,,,,518.748
40000,-3.25222,0.0948052,,,51.9351,0.249351,,,,
50000,,,,,,,,1.25279,9.98549e-05,272.158
80000,-3.25559,0.0772304,,,53.1758,0.214381,,,,
100000,,,,,,,,2.1552,9.96097e-05,185.874
120000,-2.14442,0.127341,,,50.0312,0.313358,,,,
150000,,,,,,,,7.96211,9.92416e-05,165.647
160000,-1.35161,0.17697,,,48.3588,0.481212,,,,
200000,-0.777204,0.236597,,,46.7319,0.618881,,12.1188,9.87533e-05,157.748
240000,0.649159,0.293527,,,44.6094,0.712054,,,,
250000,,,,,,,,5.95366,9.81359e-05,152.614
280000,0.563668,0.291251,,,44.3101,0.734219,,,,
300000,,,,,,,,4.48684,9.74075e-05,149.265
320000,2.15556,0.404689,,,40.7288,0.945974,,,,
350000,,,,,,,,4.06604,9.6569e-05,147.234
360000,3.61606,0.472357,,,38.8623,1.08923,,,,
400000,3.77285,0.484991,,,37.4953,1.11632,,4.19439,9.56112e-05,146
440000,5.01107,0.54363,,,34.8813,1.20419,,,,
450000,,,,,,,,5.07145,9.45336e-05,145.181
480000,5.364,0.568376,,,34.2282,1.2735,,,,
500000,,,,,,,,5.45701,9.33598e-05,144.392
520000,6.22658,0.619504,,,31.9305,1.35731,,,,
550000,,,,,,,,8.74185,9.20988e-05,144
560000,6.91548,0.651335,,,29.7226,1.43398,,,,
600000,6.72662,0.658574,,,30.3422,1.42868,,12.0012,9.07003e-05,144
640000,7.41529,0.680061,,,30.3215,1.47005,,,,
650000,,,,,,,,13.6136,8.92022e-05,143.975
680000,7.7955,0.701233,,,28.9927,1.50036,,,,
700000,,,,,,,,14.6654,8.76267e-05,143.042
720000,8.62683,0.739744,,,26.9132,1.55817,,,,
750000,,,,,,,,15.3997,8.59549e-05,143
760000,8.7221,0.749014,,,26.2878,1.57162,,,,
800000,9.36118,0.778553,,,25.3725,1.61865,,15.9408,8.42327e-05,143
840000,10.0816,0.808397,,,23.6499,1.67238,,,,
850000,,,,,,,,15.6219,8.23841e-05,143
880000,10.0155,0.805457,,,23.7331,1.66785,,,,
900000,,,,,,,,14.5422,8.04894e-05,143
920000,10.6895,0.835985,,,21.91,1.7153,,,,
950000,,,,,,,,13.5955,7.84994e-05,142.344
