step,ep_rew_mean,catch_rate,ambush_ratio,in_cone_ratio,ep_len_mean,hit_per_ep,curriculum_stage,loss,lr,fps
0,,,,,,,,,,825.358
40000,-2.77416,0.0563107,,,38.7961,0.15534,,,,
50000,,,,,,,,0.975465,0.0001,344.186
80000,-2.92472,0.0466019,,,38.8699,0.136893,,,,
100000,,,,,,,,1.50463,0.0001,197.491
120000,-2.47644,0.0671785,,,38.3493,0.190019,,,,
150000,,,,,,,,6.46625,0.0001,168.783
160000,-1.95733,0.094196,,,38.0476,0.246432,,,,
200000,-1.16071,0.14825,,,36.8702,0.369245,,17.9152,0.0001,157.099
240000,-1.84308,0.113912,,,37.3576,0.302521,,,,
250000,,,,,,,,12.6765,0.0001,149.396
280000,-2.47558,0.0653846,,,38.4317,0.183654,,,,
300000,,,,,,,,8.76697,0.0001,145.198
320000,-2.6314,0.0483092,,,38.6599,0.137198,,,,
350000,,,,,,,,6.96613,0.0001,144.402
360000,-2.34774,0.0559772,,,37.945,0.150854,,,,
400000,-2.49061,0.0451056,,,38.3445,0.132438,,3.9787,0.0001,143.199
440000,-3.11346,0.0205279,,,39.1222,0.0645161,,,,
450000,,,,,,,,2.8846,0.0001,142.393
480000,-2.21277,0.0614203,,,38.3906,0.171785,,,,
500000,,,,,,,,2.36269,0.0001,142
520000,-1.38721,0.118519,,,37.0463,0.282407,,,,
550000,,,,,,,,2.23522,0.0001,141.188
560000,-0.472109,0.15713,,,36.3633,0.387829,,,,
600000,0.284037,0.221162,,,34.6618,0.489159,,3.81161,0.0001,141
640000,3.19786,0.394223,,,31.2373,0.851678,,,,
650000,,,,,,,,5.12343,0.0001,141.522
680000,3.25542,0.392857,,,29.744,0.860863,,,,
700000,,,,,,,,4.33578,0.0001,141.731
720000,3.97843,0.434114,,,29.3126,0.915813,,,,
750000,,,,,,,,3.89329,0.0001,139.423
760000,4.75577,0.480969,,,27.6817,1.00969,,,,
800000,5.30407,0.506859,,,27.4348,1.05761,,3.6949,0.0001,139
840000,5.68949,0.534174,,,26.5388,1.10484,,,,
850000,,,,,,,,3.65544,0.0001,139
880000,6.73948,0.588013,,,25.2196,1.22334,,,,
900000,,,,,,,,3.83553,0.0001,139
920000,6.39583,0.56727,,,25.8771,1.16429,,,,
950000,,,,,,,,3.18508,0.0001,139
960000,7.02431,0.611179,,,24.5854,1.25676,,,,
1000000,7.1357,0.611794,,,24.5559,1.25307,,3.07454,0.0001,139.488
1040000,7.89544,0.654227,,,23.3055,1.32945,,,,
1050000,,,,,,,,2.91977,0.0001,139.552
1080000,8.30564,0.674706,,,22.4571,1.37465,,,,
1100000,,,,,,,,2.87254,0.0001,135.661
1120000,8.0675,0.670766,,,22.3656,1.36054,,,,
1150000,,,,,,,,2.86414,0.0001,133.518
1160000,8.42218,0.679844,,,22.2645,1.37416,,,,
1200000,9.11667,0.722106,,,20.8644,1.45516,,2.90262,0.0001,132.675
1240000,9.03464,0.711335,,,21.1637,1.43432,,,,
1250000,,,,,,,,2.73561,0.0001,132
1280000,9.38873,0.731306,,,19.9601,1.4676,,,,
1300000,,,,,,,,2.72515,0.0001,132
1320000,9.54541,0.7345,,,19.9895,1.4725,,,,
1350000,,,,,,,,2.95029,0.0001,132
1360000,9.46061,0.724761,,,20.0879,1.45605,,,,
1400000,9.54057,0.732721,,,19.3349,1.46786,,2.65018,0.0001,132
1440000,9.56118,0.739007,,,18.9258,1.48038,,,,
1450000,,,,,,,,2.61549,0.0001,132
