step,ep_rew_mean,catch_rate,ambush_ratio,in_cone_ratio,ep_len_mean,hit_per_ep,curriculum_stage,loss,lr,fps
1480000,9.67883,0.741205,,,19.267,1.48482,,,,
1500000,,,,,,,,2.65921,0.0001,132
1520000,9.75707,0.746114,,,18.838,1.49411,,,,
1550000,,,,,,,,2.80362,0.0001,132
1560000,9.78063,0.747756,,,18.8956,1.49787,,,,
1600000,10.1938,0.765404,,,18.2638,1.53309,,2.78967,0.0001,132
1640000,10.2173,0.770862,,,18.0433,1.54488,,,,
1650000,,,,,,,,2.95018,0.0001,132
1680000,10.0189,0.761687,,,18.3286,1.52429,,,,
1700000,,,,,,,,3.12656,0.0001,132
1720000,10.1005,0.761926,,,18.1631,1.52567,,,,
1750000,,,,,,,,3.59971,0.0001,132
1760000,10.3585,0.776039,,,17.8833,1.55253,,,,
1800000,10.2169,0.768953,,,18.0636,1.54016,,3.48715,0.0001,132
1840000,10.4952,0.78597,,,17.8588,1.57373,,,,
1850000,,,,,,,,3.27637,0.0001,132
1880000,10.3974,0.778371,,,17.8158,1.55808,,,,
1900000,,,,,,,,3.20055,0.0001,132
1920000,10.1685,0.771962,,,18.2021,1.5462,,,,
1950000,,,,,,,,3.2526,0.0001,132
1960000,10.352,0.777528,,,17.9843,1.5582,,,,
2000000,10.1393,0.771073,,,18.4072,1.54491,,3.16375,0.0001,131.408
2040000,10.2612,0.769794,,,18.3217,1.54279,,,,
2050000,,,,,,,,3.16986,0.0001,131
2080000,10.2205,0.766788,,,18.1438,1.53721,,,,
2100000,,,,,,,,3.15874,0.0001,131
2120000,10.4426,0.788014,,,17.8864,1.57737,,,,
2150000,,,,,,,,3.14679,0.0001,131
2160000,10.5452,0.793469,,,17.662,1.58782,,,,
2200000,10.0376,0.762587,,,18.4679,1.52702,,2.95965,0.0001,131
2240000,10.5583,0.790821,,,17.6598,1.58782,,,,
2250000,,,,,,,,3.04085,0.0001,131
2280000,10.1516,0.769407,,,18.3675,1.54111,,,,
2300000,,,,,,,,3.13218,0.0001,131
2320000,10.5663,0.788708,,,17.6427,1.58139,,,,
2350000,,,,,,,,3.20171,0.0001,131
2360000,10.2978,0.772665,,,18.2228,1.55125,,,,
2400000,10.2562,0.773345,,,18.1301,1.5485,,3.02572,0.0001,131
2440000,10.5442,0.789427,,,17.7757,1.58196,,,,
2450000,,,,,,,,3.02834,0.0001,131
2480000,10.5698,0.794351,,,17.647,1.59091,,,,
2500000,,,,,,,,2.92895,0.0001,131
2520000,10.3836,0.781292,,,18.0854,1.5662,,,,
2550000,,,,,,,,3.18065,0.0001,131
2560000,10.7343,0.802377,,,17.6048,1.60607,,,,
2600000,10.6627,0.794339,,,17.6745,1.59222,,3.32108,0.0001,131
2640000,10.5408,0.789474,,,17.8559,1.58207,,,,
2650000,,,,,,,,3.05893,0.0001,131
2680000,10.8734,0.806719,,,17.4538,1.61693,,,,
2700000,,,,,,,,2.81678,0.0001,131
2720000,10.8298,0.80704,,,17.3837,1.61625,,,,
2750000,,,,,,,,2.36902,0.0001,131
2760000,10.6618,0.799206,,,17.6505,1.60327,,,,
2800000,11.0458,0.814424,,,16.8655,1.63391,,2.20784,0.0001,131
2840000,10.6125,0.797957,,,17.7638,1.59858,,,,
2850000,,,,,,,,2.10708,0.0001,131
2880000,10.8682,0.81054,,,17.426,1.62456,,,,
2900000,,,,,,,,2.19425,0.0001,131
2920000,11.0173,0.821958,,,16.9563,1.64604,,,,
2950000,,,,,,,,2.31926,0.0001,131
2960000,10.8366,0.806738,,,17.7203,1.61879,,,,
3000000,10.9628,0.811651,,,17.5287,1.62637,,,,
