step,ep_rew_mean,catch_rate,ambush_ratio,in_cone_ratio,ep_len_mean,hit_per_ep,curriculum_stage,loss,lr,fps
0,,,,,,,,,,1170.14
40000,-3.25222,0.0948052,,,51.9351,0.249351,,,,
50000,,,,,,,,1.25279,9.98549e-05,428.722
80000,-3.25559,0.0772304,,,53.1758,0.214381,,,,
100000,,,,,,,,2.1552,9.96097e-05,238.581
120000,-2.14442,0.127341,,,50.0312,0.313358,,,,
150000,,,,,,,,7.96211,9.92416e-05,206.004
160000,-1.35161,0.17697,,,48.3588,0.481212,,,,
200000,-0.777204,0.236597,,,46.7319,0.618881,,12.1188,9.87533e-05,192.032
240000,0.649159,0.293527,,,44.6094,0.712054,,,,
250000,,,,,,,,5.95366,9.81359e-05,184.102
280000,0.563668,0.291251,,,44.3101,0.734219,,,,
300000,,,,,,,,4.48684,9.74075e-05,179.872
320000,2.15556,0.404689,,,40.7288,0.945974,,,,
350000,,,,,,,,4.06604,9.6569e-05,176.874
360000,3.61606,0.472357,,,38.8623,1.08923,,,,
400000,3.77285,0.484991,,,37.4953,1.11632,,4.19439,9.56112e-05,174.444
440000,5.01107,0.54363,,,34.8813,1.20419,,,,
450000,,,,,,,,5.07145,9.45336e-05,172.528
480000,5.364,0.568376,,,34.2282,1.2735,,,,
500000,,,,,,,,5.45701,9.33598e-05,170.998
520000,6.22658,0.619504,,,31.9305,1.35731,,,,
550000,,,,,,,,8.74185,9.20988e-05,169.668
560000,6.91548,0.651335,,,29.7226,1.43398,,,,
600000,6.72662,0.658574,,,30.3422,1.42868,,12.0012,9.07003e-05,168.608
640000,7.41529,0.680061,,,30.3215,1.47005,,,,
650000,,,,,,,,13.6136,8.92022e-05,167.655
680000,7.7955,0.701233,,,28.9927,1.50036,,,,
700000,,,,,,,,14.6654,8.76267e-05,166.513
720000,8.62683,0.739744,,,26.9132,1.55817,,,,
750000,,,,,,,,15.3997,8.59549e-05,166
760000,8.7221,0.749014,,,26.2878,1.57162,,,,
800000,9.36118,0.778553,,,25.3725,1.61865,1,14.4447,8.42283e-05,165
840000,6.13645,0.607717,,,32.1648,1.26527,,,,
850000,,,,,,,,14.1383,8.2408e-05,165
880000,6.91756,0.635535,,,30.3478,1.31815,,,,
900000,,,,,,,,12.6076,8.04712e-05,164.24
920000,6.75605,0.6356,,,30.5546,1.31169,,,,
950000,,,,,,,,12.3625,7.85084e-05,164
960000,7.5007,0.673289,,,29.4592,1.37822,,,,
1000000,8.15725,0.706171,,,28.0154,1.43408,,11.6229,7.64721e-05,163.601
1040000,8.09906,0.706171,,,28.0792,1.43408,,,,
1050000,,,,,,,,10.205,7.43751e-05,163
1080000,8.32128,0.716689,,,26.9078,1.44684,,,,
1100000,,,,,,,,9.60905,7.21933e-05,163
1120000,7.98626,0.700902,,,27.7772,1.42401,,,,
1150000,,,,,,,,8.17537,7.00193e-05,162
1160000,8.57708,0.722623,,,26.2105,1.46557,,,,
1200000,8.65504,0.725594,,,26.407,1.45778,,7.51939,6.77817e-05,162
1240000,9.15498,0.75,,,24.9239,1.50374,,,,
1250000,,,,,,,,6.62288,6.55275e-05,161.862
1280000,9.70348,0.770135,,,23.5062,1.54203,2,,,
1300000,,,,,,,,6.06696,6.32012e-05,161
1320000,8.9249,0.730871,,,26.3978,1.46438,,,,
1350000,,,,,,,,5.94372,6.08914e-05,161
1360000,8.50283,0.728657,,,26.4844,1.46195,,,,
1400000,9.1237,0.740765,,,26.3753,1.48417,,5.86854,5.85242e-05,160.762
1440000,8.89816,0.744082,,,25.5707,1.49072,,,,
1450000,,,,,,,,5.94136,5.61842e-05,160
1480000,8.66943,0.736908,,,25.258,1.4776,,,,
1500000,,,,,,,,5.89523,5.38162e-05,160
1520000,8.58368,0.732223,,,25.6176,1.46573,,,,
1550000,,,,,,,,6.26182,5.14901e-05,159.41
1560000,9.60683,0.769643,,,23.8161,1.54167,,,,
1600000,9.60614,0.760789,,,24.6634,1.52219,3,8.01235,4.9122e-05,159
1640000,5.16902,0.636364,,,29.561,1.28899,,,,
1650000,,,,,,,,11.134,4.68034e-05,158.473
1680000,5.12267,0.633283,,,30.1318,1.28012,,,,
1700000,,,,,,,,13.8827,4.45165e-05,158
1720000,5.84042,0.663982,,,29.2723,1.34261,,,,
1750000,,,,,,,,17.4522,4.22202e-05,157.599
1760000,5.36514,0.643128,,,30.3151,1.30144,,,,
1800000,5.60011,0.639466,,,29.7352,1.29228,,22.5387,3.99924e-05,157
1840000,5.44687,0.638973,,,30.216,1.29607,,,,
1850000,,,,,,,,27.4101,3.77875e-05,156.805
1880000,5.19989,0.626154,,,30.7323,1.26769,,,,
1900000,,,,,,,,30.0835,3.56244e-05,156
1920000,5.50845,0.639294,,,30.7276,1.29087,,,,
1950000,,,,,,,,32.7152,3.35375e-05,156
1960000,5.90848,0.652954,,,29.8856,1.32386,,,,
2000000,5.91111,0.652819,,,29.6669,1.32047,,33.0849,3.14942e-05,155.127
2040000,6.17556,0.672566,,,29.5376,1.35841,,,,
2050000,,,,,,,,33.0649,2.95179e-05,155
2080000,6.58211,0.6793,,,29.1385,1.37391,,,,
2100000,,,,,,,,31.6359,2.76235e-05,154.9
2120000,5.77668,0.664693,,,29.6129,1.35825,,,,
2150000,,,,,,,,31.864,2.57837e-05,154
2160000,5.86778,0.663469,,,29.4804,1.34539,,,,
2200000,6.48008,0.677419,,,28.7247,1.37133,,32.8404,2.40437e-05,154
2240000,6.61631,0.687938,,,28.0189,1.3885,,,,
2250000,,,,,,,,31.5067,2.23661e-05,154
2280000,7.12354,0.703597,,,28.8058,1.4259,,,,
2300000,,,,,,,,30.2459,2.07711e-05,153.185
2320000,6.56493,0.684554,,,28.9855,1.39159,,,,
2350000,,,,,,,,30.0459,1.93095e-05,153
2360000,7.13538,0.706499,,,27.9686,1.42697,,,,
2400000,7.12669,0.706783,,,29.1656,1.43472,4,29.6426,1.79208e-05,153
2440000,6.86005,0.692697,,,28.9306,1.39696,,,,
2450000,,,,,,,,27.5541,1.66329e-05,153
2480000,7.16145,0.697674,,,29.0683,1.41134,,,,
2500000,,,,,,,,27.0671,1.5457e-05,152.198
2520000,7.02473,0.701567,,,28.4858,1.42379,,,,
2550000,,,,,,,,26.8538,1.43856e-05,152
2560000,7.08718,0.704017,,,28.1804,1.42001,,,,
2600000,7.16872,0.693848,,,28.633,1.40272,,27.6805,1.34317e-05,152
2640000,7.25069,0.705165,,,28.6836,1.42826,,,,
2650000,,,,,,,,27.3797,1.25792e-05,152
2680000,6.99205,0.696697,,,29.9962,1.41592,,,,
2700000,,,,,,,,27.0481,1.18584e-05,152
2720000,7.09435,0.697775,,,28.7566,1.40991,,,,
2750000,,,,,,,,27.2337,1.12497e-05,151.014
2760000,7.18232,0.697168,,,29.0574,1.40741,,,,
2800000,7.15108,0.708423,,,28.7711,1.43844,,27.4271,1.07592e-05,151
2840000,7.6289,0.730322,,,27.3874,1.47296,,,,
2850000,,,,,,,,27.4359,1.03913e-05,151
2880000,6.77387,0.693548,,,28.0379,1.40533,,,,
2900000,,,,,,,,26.7594,1.01453e-05,151
2920000,6.42948,0.68741,,,28.9349,1.38857,,,,
2950000,,,,,,,,27.1644,1.00205e-05,151
2960000,6.05464,0.66963,,,29.6674,1.35556,,,,
3000000,6.38818,0.689189,,,28.4395,1.39545,,25.5186,1e-05,
