step,ep_rew_mean,catch_rate,ambush_ratio,in_cone_ratio,ep_len_mean,hit_per_ep,curriculum_stage,loss,lr,fps
880000,3.97755,0.40199,0.922184,0.0337272,39.8279,0.856716,,,,
900000,,,,,,,,14.1148,8.04796e-05,163
920000,5.22934,0.447747,0.917865,0.0310787,38.3154,0.933845,,,,
950000,,,,,,,,13.6469,7.84961e-05,162.588
960000,5.11568,0.443702,0.910973,0.0363312,38.0038,0.921756,,,,
1000000,5.74435,0.485611,0.927484,0.0349922,36.1592,1.0045,,13.6377,7.64676e-05,162
1040000,5.5267,0.468519,0.932367,0.0306584,37.0269,0.958333,,,,
1050000,,,,,,,,12.905,7.43683e-05,162
1080000,6.44237,0.493682,0.933692,0.0356991,36.102,1.00722,,,,
1100000,,,,,,,,12.7016,7.22314e-05,161.771
1120000,6.36271,0.495575,0.927129,0.0248787,35.3929,1.00796,,,,
1150000,,,,,,,,12.9252,7.00096e-05,161
1160000,5.9207,0.468807,0.921305,0.0332332,36.6605,0.955963,,,,
1200000,7.38471,0.531842,0.930177,0.0276404,34.4664,1.07229,,12.9151,6.77587e-05,161
1240000,6.47776,0.5,0.916879,0.0324549,34.4182,1.01463,,,,
1250000,,,,,,,,12.5916,6.55279e-05,161
1280000,7.28197,0.54553,0.911011,0.0292427,33.1209,1.09768,,,,
1300000,,,,,,,,12.7953,6.32065e-05,160.214
1320000,7.0025,0.523077,0.950406,0.0239304,34.1803,1.05128,,,,
1350000,,,,,,,,13.2989,6.08821e-05,160
1360000,7.50466,0.538399,0.933632,0.0267406,32.3476,1.08407,,,,
1400000,6.81627,0.514262,0.92811,0.0322476,33.5596,1.03859,,14.4745,5.8508e-05,160
1440000,6.53752,0.530218,0.922669,0.0307396,32.2168,1.06285,,,,
1450000,,,,,,,,14.8883,5.61758e-05,160
1480000,8.13961,0.556669,0.922812,0.0379623,30.8304,1.11874,,,,
1500000,,,,,,,,15.3564,5.38132e-05,159.815
1520000,7.2345,0.547544,0.892496,0.0314445,31.7013,1.09826,,,,
1550000,,,,,,,,14.9733,5.14883e-05,159
1560000,7.1857,0.532374,0.91979,0.0329305,31.9448,1.06635,,,,
1600000,7.11141,0.534127,0.921656,0.043061,31.7563,1.07381,2,14.8783,4.91146e-05,159
1640000,7.87279,0.594317,0.82672,0.0323234,31.5722,1.19337,,,,
1650000,,,,,,,,17.7239,4.68043e-05,159
1680000,8.76274,0.628012,0.839904,0.037322,30.1431,1.26054,,,,
1700000,,,,,,,,18.7739,4.45232e-05,159
1720000,9.04046,0.639466,0.825588,0.0404689,29.678,1.29303,,,,
1750000,,,,,,,,19.5479,4.21957e-05,158
1760000,8.59429,0.615031,0.850682,0.04016,30.6672,1.23773,,,,
1800000,9.02198,0.634273,0.85099,0.0464564,29.6855,1.27448,,18.8122,3.99773e-05,158
1840000,8.95407,0.634036,0.862965,0.0410123,30.1114,1.27485,,,,
1850000,,,,,,,,18.2403,3.77892e-05,158
1880000,9.71304,0.65413,0.901117,0.049077,29.4823,1.32006,,,,
1900000,,,,,,,,20.6238,3.56568e-05,157.493
1920000,9.47988,0.632167,0.90035,0.0506294,29.8109,1.27774,3,,,
1950000,,,,,,,,26.9601,3.35362e-05,157
1960000,6.83854,0.596477,0.774026,0.0472689,32.0128,1.23299,,,,
2000000,5.74087,0.547154,0.847647,0.0531383,33.9762,1.13764,,30.017,3.15052e-05,156.804
2040000,5.36272,0.551378,0.821717,0.062564,33.4361,1.13868,,,,
2050000,,,,,,,,32.0677,2.95187e-05,156
2080000,5.95231,0.556876,0.863603,0.0577236,33.9567,1.16384,,,,
2100000,,,,,,,,33.1949,2.76285e-05,156
2120000,6.96631,0.572848,0.888346,0.06525,33.1126,1.18626,,,,
2150000,,,,,,,,38.1834,2.57731e-05,155.195
2160000,6.07819,0.541126,0.909722,0.0610957,34.5636,1.12208,,,,
2200000,6.50382,0.564648,0.935192,0.0653053,32.7807,1.1743,,44.509,2.40184e-05,155
2240000,7.04259,0.565362,0.928977,0.0709021,33.3281,1.17236,,,,
2250000,,,,,,,,48.268,2.23569e-05,154.799
2280000,7.13925,0.561139,0.939631,0.078625,33.5008,1.17923,,,,
2300000,,,,,,,,50.3261,2.07881e-05,154
2320000,6.64196,0.544304,0.926991,0.071609,33.7392,1.1443,,,,
2350000,,,,,,,,49.3642,1.93051e-05,154
2360000,7.21125,0.575707,0.922432,0.0735312,33.2637,1.19052,,,,
2400000,7.76179,0.599672,0.907825,0.0721601,32.8433,1.23708,,47.1826,1.7926e-05,154
2440000,7.71076,0.603365,0.886076,0.079938,32.0361,1.26603,,,,
2450000,,,,,,,,47.5835,1.66335e-05,153
2480000,7.33062,0.577082,0.920027,0.0820836,32.9827,1.2061,,,,
2500000,,,,,,,,47.1899,1.54619e-05,153
2520000,8.22618,0.603084,0.916991,0.0796866,32.4221,1.25162,,,,
2550000,,,,,,,,49.4694,1.4391e-05,153
2560000,8.09153,0.590721,0.925753,0.0879225,33.1881,1.23861,,,,
2600000,8.84454,0.609299,0.934839,0.0768865,32.6003,1.26427,,48.4658,1.34307e-05,152.399
2640000,8.79976,0.615076,0.92902,0.0870629,32.1091,1.27666,,,,
2650000,,,,,,,,46.8277,1.25888e-05,152
2680000,8.10953,0.593651,0.917466,0.0921372,31.7246,1.24048,,,,
2700000,,,,,,,,45.9716,1.18607e-05,152
2720000,8.76411,0.621729,0.933742,0.0914064,31.7446,1.29262,4,,,
2750000,,,,,,,,43.9537,1.12483e-05,152
2760000,8.63604,0.624,0.900436,0.0843883,31.976,1.2856,,,,
2800000,8.77093,0.624697,0.907107,0.0871792,32.301,1.29459,,44.418,1.07596e-05,151.442
2840000,7.79276,0.59984,0.893299,0.0861328,32.0834,1.23256,,,,
2850000,,,,,,,,46.278,1.03879e-05,151
2880000,8.19678,0.605136,0.925402,0.0822497,32.0931,1.24799,,,,
2900000,,,,,,,,46.2761,1.01435e-05,151
2920000,8.52962,0.61767,0.908592,0.0853582,31.2439,1.28303,,,,
2950000,,,,,,,,45.0649,1.00209e-05,151
2960000,9.61438,0.644231,0.920338,0.0960002,32.0929,1.32772,,,,
3000000,9.07345,0.630856,0.928133,0.0858781,32.2714,1.31502,,44.9335,1e-05,
