step,ep_rew_mean,catch_rate,ambush_ratio,in_cone_ratio,ep_len_mean,hit_per_ep,curriculum_stage,loss,lr,fps
0,,,,,,,,,,1237.24
40000,-3.58462,0.0948052,0.447917,0.0644911,51.9351,0.249351,,,,
50000,,,,,,,,1.08387,9.98562e-05,441.579
80000,-3.21185,0.0823529,0.52907,0.0605349,52.3007,0.224837,,,,
100000,,,,,,,,1.65157,9.96111e-05,240.178
120000,-3.22172,0.0978121,0.550239,0.0684037,51.4208,0.268983,,,,
150000,,,,,,,,2.18523,9.92412e-05,206.051
160000,-3.16225,0.106547,0.461187,0.0703344,51.2863,0.28113,,,,
200000,-2.25512,0.172539,0.518229,0.102904,48.7072,0.466586,,4.52287,9.87486e-05,191.167
240000,-0.543868,0.262371,0.458781,0.112417,46.0334,0.642117,,,,
250000,,,,,,,,8.7263,9.81405e-05,182.78
280000,0.229803,0.313333,0.496403,0.134603,44.3856,0.772222,,,,
300000,,,,,,,,12.5627,9.74238e-05,178.116
320000,1.30439,0.36383,0.498756,0.12495,42.5872,0.855319,,,,
350000,,,,,,,,15.3145,9.65519e-05,174.739
360000,0.703384,0.354555,0.488,0.111762,43.8639,0.823271,,,,
400000,2.46667,0.412863,0.566999,0.0889665,41.556,0.936722,,25.6497,9.56521e-05,172.301
440000,2.18379,0.374214,0.652913,0.0808329,41.8857,0.863732,,,,
450000,,,,,,,,30.9541,9.45333e-05,170.372
480000,2.19129,0.341786,0.787024,0.0389043,44.1533,0.781698,,,,
500000,,,,,,,,41.6601,9.33704e-05,168.64
520000,1.8871,0.312152,0.808411,0.0509103,44.5184,0.715719,,,,
550000,,,,,,,,27.4282,9.20592e-05,167.39
560000,-1.0744,0.172327,0.881657,0.0480114,50.3811,0.425157,,,,
600000,2.6531,0.340733,0.860497,0.051822,44.3762,0.803552,,20.8384,9.0663e-05,166.364
640000,3.28613,0.356284,0.912634,0.0490542,43.7344,0.813115,,,,
650000,,,,,,,,17.8648,8.91953e-05,165.494
680000,6.37815,0.503442,0.930233,0.0519926,39.2802,1.09931,,,,
700000,,,,,,,,16.3148,8.76269e-05,164.792
720000,7.62046,0.55477,0.940703,0.0619436,35.3251,1.20671,,,,
750000,,,,,,,,14.8263,8.59563e-05,164
760000,8.86239,0.595563,0.93813,0.0521442,34.1826,1.26877,,,,
800000,9.24292,0.62299,0.948234,0.0590486,32.1415,1.31994,1,14.9757,8.42306e-05,163.6
840000,3.67404,0.381193,0.939506,0.0360036,40.4408,0.819009,,,,
850000,,,,,,,,14.8389,8.23957e-05,163
